iter	Logloss
0	0.6834744674
1	0.6743258678
2	0.6663706544
3	0.6564475249
4	0.6491039837
5	0.6416213566
6	0.6332084317
7	0.6264427817
8	0.619968788
9	0.613542338
10	0.6075898644
11	0.6019861829
12	0.5965767768
13	0.5909124147
14	0.5860710991
15	0.5811277455
16	0.5766002595
17	0.5716015773
18	0.5669851903
19	0.5613582931
20	0.5573138195
21	0.5539432279
22	0.5506453419
23	0.5467234808
24	0.5431694571
25	0.5392322347
26	0.5359369205
27	0.5328875263
28	0.5300311911
29	0.5271995661
30	0.5245811575
31	0.5203996485
32	0.5175820294
33	0.5145160228
34	0.5124000194
35	0.510439923
36	0.5083150573
37	0.5056785418
38	0.5033296513
39	0.5012706099
40	0.4994906787
41	0.4976741166
42	0.4957460287
43	0.4934840582
44	0.4915144738
45	0.4896409846
46	0.4881250108
47	0.4864877451
48	0.484579189
49	0.4831391877
50	0.4812956912
51	0.4794594236
52	0.4779048032
53	0.476327975
54	0.474971731
55	0.473433028
56	0.4721708981
57	0.4707620017
58	0.4684869984
59	0.4674709275
60	0.4663235557
61	0.4650110671
62	0.463740353
63	0.4627080519
64	0.4617610722
65	0.4609052873
66	0.4600206217
67	0.4586711895
68	0.4576555705
69	0.456182935
70	0.4554419776
71	0.4545881389
72	0.4534015644
73	0.4527462411
74	0.4520109139
75	0.4512901834
76	0.4504231381
77	0.4495328771
78	0.4488660154
79	0.4482734928
80	0.4476271361
81	0.4467563721
82	0.4461423367
83	0.4454677596
84	0.444551572
85	0.4438874212
86	0.4432705359
87	0.4423970959
88	0.4418250087
89	0.4412554585
90	0.440770187
91	0.438743745
92	0.4380040735
93	0.437307358
94	0.4365068669
95	0.4358593632
96	0.4351042957
97	0.4344446629
98	0.4333084123
99	0.4324981553
100	0.4320576818
101	0.4316007349
102	0.4310545395
103	0.4307457145
104	0.430240807
105	0.4297369421
106	0.4290797768
107	0.4284015158
108	0.4278211571
109	0.4274861971
110	0.4271451203
111	0.4264744357
112	0.4258177918
113	0.4255708291
114	0.4242713038
115	0.4238299268
116	0.4233146625
117	0.4228198684
118	0.4214733903
119	0.4210670801
120	0.4202732965
121	0.4197671726
122	0.4195321653
123	0.4192382847
124	0.4187709463
125	0.4183382925
126	0.4178543069
127	0.4171274597
128	0.4168971095
129	0.4164093705
130	0.4162306649
131	0.415574438
132	0.4152892459
133	0.4150300498
134	0.4147782911
135	0.414603756
136	0.4140272202
137	0.4136905225
138	0.4133436419
139	0.4127069468
140	0.4122624071
141	0.4120295199
142	0.411708809
143	0.4113280431
144	0.4108965015
145	0.4105263008
146	0.4100758182
147	0.4098328522
148	0.4095052601
149	0.4092215624
150	0.4088415263
151	0.4080090961
152	0.4075217394
153	0.4072245571
154	0.4069525715
155	0.4065866108
156	0.4062604089
157	0.4060401026
158	0.405651517
159	0.4053271223
160	0.4049160855
161	0.404438877
162	0.4041745373
163	0.4035119852
164	0.4031163445
165	0.4028975674
166	0.4025144035
167	0.4021323517
168	0.4017768172
169	0.4016488179
170	0.4012048343
171	0.400992591
172	0.4007239418
173	0.4004745116
174	0.4000892277
175	0.3997238578
176	0.3993991503
177	0.3991709896
178	0.3986503732
179	0.3982132709
180	0.3978988158
181	0.3976256138
182	0.3974143089
183	0.3972142296
184	0.3968249489
185	0.3964853318
186	0.3962187331
187	0.3954111521
188	0.395118036
189	0.3948021908
190	0.3941864872
191	0.3937647809
192	0.3935313029
193	0.3929551147
194	0.3927554871
195	0.3925527665
196	0.3922506491
197	0.3918939677
198	0.3917040018
199	0.3915063205
200	0.3913412385
201	0.3911425494
202	0.3908505802
203	0.3904052411
204	0.3900089749
205	0.3894909303
206	0.3893140667
207	0.3890458345
208	0.3887766293
209	0.3884745814
210	0.3882020398
211	0.3879979637
212	0.3878932843
213	0.3875034824
214	0.3871013079
215	0.3869195092
216	0.3863699774
217	0.385911258
218	0.3857063826
219	0.3854367951
220	0.3851370757
221	0.3849145105
222	0.3847610364
223	0.3842264488
224	0.3839507098
225	0.3836472717
226	0.383352279
227	0.3830473117
228	0.3827228475
229	0.3822310074
230	0.381547151
231	0.3813385917
232	0.3809708238
233	0.3807921877
234	0.3805287864
235	0.3802747687
236	0.3800989129
237	0.3798730461
238	0.3796590651
239	0.3793343228
240	0.379124269
241	0.3789286034
242	0.3786011155
243	0.3779515614
244	0.3778108421
245	0.3775358329
246	0.3773758945
247	0.3771890565
248	0.3769833469
249	0.3767440997
250	0.3766096014
251	0.3764282197
252	0.3761636368
253	0.3759948709
254	0.3757617404
255	0.3755819921
256	0.3754605961
257	0.3751631705
258	0.3749205174
259	0.3747482065
260	0.3745572328
261	0.3744412931
262	0.3742412833
263	0.3740099947
264	0.3737771075
265	0.373528859
266	0.3730415717
267	0.3729069691
268	0.3726114203
269	0.3722515763
270	0.3720076025
271	0.3718156209
272	0.371642476
273	0.3714313101
274	0.3710193002
275	0.3704548589
276	0.3700761087
277	0.3698462451
278	0.3696338975
279	0.3694394136
280	0.3693445001
281	0.3691814687
282	0.3689287369
283	0.3687048509
284	0.3684416234
285	0.368285647
286	0.3681113204
287	0.3678885814
288	0.3676211139
289	0.3674666319
290	0.3672578293
291	0.3670744666
292	0.3669464325
293	0.3667789178
294	0.3663839027
295	0.3660146751
296	0.3657906502
297	0.365634361
298	0.3654790449
299	0.3651002253
300	0.3648427669
301	0.3647120915
302	0.3645891315
303	0.3643156515
304	0.364140039
305	0.3639625151
306	0.3636801033
307	0.3635456396
308	0.3633745105
309	0.3630915773
310	0.3628015196
311	0.3625407249
312	0.3623660507
313	0.3622466704
314	0.3620839865
315	0.3617163924
316	0.3616475793
317	0.3614046481
318	0.3611632114
319	0.3610237779
320	0.3608511196
321	0.3606345668
322	0.3604923877
323	0.3602885549
324	0.3600051353
325	0.3598143005
326	0.3594767687
327	0.3592538907
328	0.3591654067
329	0.3590106815
330	0.3588652356
331	0.3587372362
332	0.3585120644
333	0.3582473077
334	0.3580153241
335	0.3577088624
336	0.357531964
337	0.3572487181
338	0.3569662368
339	0.3567372768
340	0.356281442
341	0.3559283404
342	0.3557354551
343	0.3554681614
344	0.3552205384
345	0.3550449259
346	0.3548308407
347	0.3546360787
348	0.3544267548
349	0.3542705351
350	0.3541478184
351	0.3540151272
352	0.3539058603
353	0.3536585501
354	0.3534823469
355	0.3533497947
356	0.3530696072
357	0.3525617455
358	0.3524095226
359	0.3522317901
360	0.3520333094
361	0.3519422537
362	0.3518246458
363	0.3516002734
364	0.3514757494
365	0.3511800268
366	0.3509944399
367	0.3508099999
368	0.3507063632
369	0.3505383271
370	0.3503717159
371	0.3502159481
372	0.3501403579
373	0.3499539022
374	0.3498305251
375	0.3496697179
376	0.3493613448
377	0.3490179048
378	0.34884827
379	0.34873591
380	0.348647148
381	0.348494647
382	0.3482970352
383	0.348195171
384	0.3477694332
385	0.3475961145
386	0.3474948411
387	0.34740455
388	0.3471255093
389	0.3470371296
390	0.3468249211
391	0.3466615768
392	0.3463918155
393	0.3462353525
394	0.3461015493
395	0.3459800142
396	0.345832205
397	0.3456981237
398	0.3454855676
399	0.3452043374
400	0.3447830482
401	0.3445605525
402	0.3442308056
403	0.3440583905
404	0.3439640331
405	0.3438835426
406	0.3436639662
407	0.3435451767
408	0.3433879492
409	0.3430298429
410	0.3428565937
411	0.3425370993
412	0.3422371019
413	0.3420645131
414	0.341987359
415	0.3417976711
416	0.3416939301
417	0.3415473373
418	0.3414490875
419	0.3413590396
420	0.3412220737
421	0.3410924409
422	0.3409368468
423	0.3408156245
424	0.3406941242
425	0.3405666809
426	0.3403332724
427	0.3401643327
428	0.3400090861
429	0.3399102455
430	0.3397422441
431	0.3396083713
432	0.3394589982
433	0.3393695412
434	0.3391259844
435	0.3390351025
436	0.3389244454
437	0.3387375031
438	0.3384160277
439	0.3382713116
440	0.3381528002
441	0.3380381811
442	0.3379376028
443	0.3376584231
444	0.3375083896
445	0.337172109
446	0.3370486972
447	0.3369748447
448	0.3369032513
449	0.336729446
450	0.3365416001
451	0.336384025
452	0.3362755227
453	0.3359700342
454	0.3358404709
455	0.3358000866
456	0.3356619043
457	0.3355797456
458	0.3353704565
459	0.3350227764
460	0.3349413128
461	0.3347873522
462	0.3344161089
463	0.3343320735
464	0.3341478072
465	0.334022762
466	0.3337903613
467	0.3337302367
468	0.3336155135
469	0.3335486813
470	0.3332491357
471	0.3330856525
472	0.3328152308
473	0.3326763187
474	0.3325631941
475	0.3324959796
476	0.3322294852
477	0.3321524354
478	0.3319533986
479	0.3319217029
480	0.3316812393
481	0.3314447029
482	0.3313174681
483	0.3311088045
484	0.3309185606
485	0.3307998753
486	0.3307614025
487	0.3306852563
488	0.3305840176
489	0.3305194097
490	0.3304125061
491	0.3303025442
492	0.3301650569
493	0.3300113396
494	0.329637872
495	0.3292925205
496	0.3290808681
497	0.3290017677
498	0.3287537972
499	0.3286766084
500	0.3283765415
501	0.3281967933
502	0.3281039998
503	0.3280442228
504	0.3278295815
505	0.3276564018
506	0.3274947952
507	0.3274095434
508	0.3272522464
509	0.3271481578
510	0.3271077388
511	0.3267379552
512	0.3263766516
513	0.3261445985
514	0.3259110509
515	0.3257538581
516	0.3257224404
517	0.3256345821
518	0.3253302056
519	0.3251528207
520	0.3248640142
521	0.3246547945
522	0.3243881958
523	0.3241743886
524	0.3238675446
525	0.3238141623
526	0.3236628082
527	0.3234691931
528	0.3232318226
529	0.3230459577
530	0.322942043
531	0.3229109033
532	0.3228844207
533	0.3227995164
534	0.3226709957
535	0.3225356285
536	0.3222476213
537	0.3219341046
538	0.3218678632
539	0.321624098
540	0.3213632337
541	0.321155856
542	0.3208674317
543	0.3204994206
544	0.3204001629
545	0.3201966081
546	0.3200817806
547	0.319890772
548	0.3198638029
549	0.3197034474
550	0.3195986986
551	0.3193657766
552	0.3193334553
553	0.319245736
554	0.319216751
555	0.3189433753
556	0.3187395077
557	0.3186176599
558	0.3183876572
559	0.3182237917
560	0.3181968572
561	0.3179779064
562	0.3179134028
563	0.3177654546
564	0.3176583772
565	0.3174339352
566	0.3173863221
567	0.3172353503
568	0.3171171516
569	0.3169345188
570	0.3167082696
571	0.3165843713
572	0.3165511464
573	0.316442505
574	0.3161851509
575	0.3160266722
576	0.3157725503
577	0.3155188106
578	0.3153633903
579	0.3152808493
580	0.3151363417
581	0.3148763811
582	0.3146490892
583	0.3144454302
584	0.3143822473
585	0.3140930932
586	0.3137606702
587	0.3135848145
588	0.3134112177
589	0.3132856859
590	0.3132011987
591	0.312964002
592	0.3127346249
593	0.3126035325
594	0.3124028275
595	0.3121467246
596	0.3119233947
597	0.3117323862
598	0.3114820872
599	0.3114461862
600	0.3112746052
601	0.3111729147
602	0.3109140662
603	0.3107029003
604	0.3105474799
605	0.3103233508
606	0.3102144662
607	0.3099514471
608	0.3097638793
609	0.3095158045
610	0.3093252478
611	0.3092187265
612	0.3091199901
613	0.3089351678
614	0.3087775927
615	0.308712672
616	0.3085547841
617	0.3083202982
618	0.3082661861
619	0.3080896005
620	0.3079758851
621	0.3077808451
622	0.3075688451
623	0.3073377303
624	0.307309788
625	0.3070253605
626	0.3069312811
627	0.3068580195
628	0.3067459723
629	0.3064973067
630	0.3062942385
631	0.3060784155
632	0.3059766555
633	0.305834268
634	0.3055775047
635	0.305452529
636	0.3052293729
637	0.305056228
638	0.3049778575
639	0.3047246739
640	0.304529182
641	0.3044809434
642	0.3042893788
643	0.3040979879
644	0.3040139873
645	0.3039135827
646	0.3038391046
647	0.3037923256
648	0.3037351204
649	0.3035406017
650	0.3035186023
651	0.3034437073
652	0.3033128581
653	0.3030420541
654	0.3029174954
655	0.3026263951
656	0.3025999125
657	0.3024147079
658	0.3022059052
659	0.3020041577
660	0.3017765879
661	0.3016042075
662	0.3014507334
663	0.3012780751
664	0.3012093662
665	0.3010880744
666	0.3008829905
667	0.30059898
668	0.3004840134
669	0.3003443019
670	0.3001950331
671	0.3000577891
672	0.3000131301
673	0.2998269871
674	0.2996896389
675	0.299472252
676	0.2993736547
677	0.2991583183
678	0.2988855333
679	0.2987525989
680	0.2986147294
681	0.2985792802
682	0.2984429051
683	0.2983858737
684	0.2982660763
685	0.2980339884
686	0.297922949
687	0.2977319058
688	0.2975405149
689	0.2974473392
690	0.2972638376
691	0.2970940638
692	0.2968885628
693	0.2967933713
694	0.2966132408
695	0.2965739687
696	0.2965442887
697	0.2964420074
698	0.2964015883
699	0.2962677156
700	0.2961503857
701	0.2959572224
702	0.2958172329
703	0.2957680906
704	0.2956430801
705	0.2954077601
706	0.2952421221
707	0.2950584814
708	0.2949501181
709	0.2947660257
710	0.2946766034
711	0.2945311227
712	0.294345223
713	0.2942007502
714	0.2940573548
715	0.2939017955
716	0.2937364007
717	0.2936375948
718	0.293542021
719	0.2934119364
720	0.2933962623
721	0.2932158191
722	0.2931934027
723	0.2931711253
724	0.2930151141
725	0.2928690079
726	0.2927425377
727	0.2926311161
728	0.2925040204
729	0.2923348722
730	0.2922820807
731	0.2921152262
732	0.2919695023
733	0.2918195384
734	0.2917490918
735	0.2915747652
736	0.2915508197
737	0.2913664492
738	0.2912677649
739	0.2910467462
740	0.2908855567
741	0.2907238285
742	0.2905496757
743	0.2903921875
744	0.2903459819
745	0.2903120793
746	0.2901530098
747	0.290014619
748	0.2898853511
749	0.289712519
750	0.2895717475
751	0.2894032422
752	0.2892927937
753	0.2891367304
754	0.2890107642
755	0.2887339999
756	0.2885364229
757	0.2883277245
758	0.2881943383
759	0.2881006064
760	0.2880418373
761	0.2878471448
762	0.2877938494
763	0.2876268559
764	0.2876086622
765	0.2873490143
766	0.2872115618
767	0.2871270399
768	0.2870586438
769	0.2869424608
770	0.2868216556
771	0.2867416169
772	0.2866796156
773	0.28647335
774	0.2863615287
775	0.2861666624
776	0.286043268
777	0.2859866536
778	0.2858502438
779	0.2858391398
780	0.2857044677
781	0.2855627231
782	0.285415609
783	0.2853093831
784	0.2852336365
785	0.2852046342
786	0.284967229
